Search Word	Akdemir_p53_DOX.anno	Akdemir_p53_Untr.anno	Botcheve_IMR90.anno	Kc167_P53_NT60_A.anno	Kc167_P53_NT60_B.anno	Kc167_P53_XR60_A.anno	Kc167_P53_XR60_B.anno	R_G085_P53_NT60.anno	R_G085_P53_XR60.anno	R_P53NT60.anno	R_P53NT60_A.anno	R_P53XR60.anno	R_P53XR60_A.anno	R_P53_NT60_M14.anno	R_P53_XR60_M14.anno	SP53NT30.anno	SP53NT30Ctr.anno	SP53NT60Ctr.anno	SP53NT60_A.anno	SP53NT60_B.anno	SP53XR30.anno	SP53XR30Ctr.anno	SP53XR60Ctr.anno	SP53XR60_A.anno	SP53XR60_B.anno	S_P53NT120.anno	S_P53NT60AB.anno	S_P53XR120.anno	S_P53XR60AB.anno	Younger_Human_ChIP.anno
3'	44	43	6	1	6	0	4	0	0	8	6	9	7	0	0	1	2	0	0	2	1	0	1	6	0	3	12	2	4	22
5'	66	105	30	7	2	5	2	0	0	1	0	4	4	0	0	4	3	0	2	1	1	1	1	1	2	1	2	3	2	10
Intergenic	2328	1900	241	29	69	22	52	5	4	479	60	370	82	2	4	325	97	158	8	114	269	28	75	1053	54	375	713	325	221	1318
TTS	66	66	8	11	45	7	43	1	1	52	22	46	26	0	0	46	25	13	5	18	26	8	13	50	9	27	99	40	53	31
exon	111	125	40	1	23	2	23	0	0	22	14	22	14	3	6	9	7	0	3	6	6	0	4	25	5	11	25	8	16	31
intron	1893	1452	233	39	80	34	54	1	1	289	105	277	140	1	3	243	78	131	15	175	152	30	71	612	33	206	814	219	166	1144
non-coding	37	33	9	1	2	1	1	0	0	3	3	3	2	0	0	1	1	1	0	0	1	0	1	1	0	3	1	1	0	10
promoter-TSS	423	802	176	51	86	40	72	1	0	56	23	58	30	2	2	51	44	25	9	40	39	8	24	76	7	33	120	60	48	72
